관리번호,정류장명,그늘,의자,도착안내기,쉘터,촬영시점(YYYY.MM),조사자,비고
250001409,청실A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001963,우석초교,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001534,춘천동원학교,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001535,춘천동원학교,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001460,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001461,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001462,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001463,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001464,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001465,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001466,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026874,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026875,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026876,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026880,윗샘밭종점,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001987,모아엘가A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
265000670,파크자이A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
265000671,파크자이A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250026892,천년나무A,있음,,있음,있음,,시설이미지 라벨링(병합본),
250026893,천년나무A,있음,,있음,있음,,시설이미지 라벨링(병합본),
250001386,교육대학교,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026768,e편한세상,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250026917,강원고앞,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001071,가정진료소,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001970,한강수력본부,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001994,오탄1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),2026년 1월 사진
250001995,오탄1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),2026년 1월 사진
250001999,오탄1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026596,간척사거리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
263001765,간척사거리,있음,있음,없음,없음,,시설이미지 라벨링(병합본),
263001766,간척사거리,있음,있음,,있음,,시설이미지 라벨링(병합본),
250000005,강원지방경찰청,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250000006,강원지방경찰청,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
265000721,중앙시장입구,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027098,중앙시장입구,있음,있음,,있음,,시설이미지 라벨링(병합본),
250027123,안보2리3반,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027124,안보2리3반,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001529,등선폭포,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001530,등선폭포,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250026785,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026786,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026787,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026789,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027046,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027048,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027049,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027050,오월2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257001479,반곡,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257001480,반곡,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001874,정부합동청사,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026588,중앙하이츠2차,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001655,구곡폭포종점,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
265000867,안마산로입구,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001199,폴리텍2캠퍼스,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026527,성심경로당,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026517,성심경로당,없음,없음,있음,없음,,시설이미지 라벨링(병합본),
250026550,소양강처녀상,있음,있음,,있음,,시설이미지 라벨링(병합본),"BIT 원본은 동일 번호 2286을 호반환승센터로 표기하나, 현행 TAGO·카카오맵은 소양강처녀상으로 일치하고 좌표도 약 81m 차이여서 BIT 설치 여부 현장확인 필요"
250026599,석사교사거리,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001288,무릉공원,있음,있음,없음,없음,,시설이미지 라벨링(병합본),
265000697,삼천동사거리,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
265000723,삼천동사거리,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250002190,삼천동사거리,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
