"운행일자","정산사업자","정류장아이디","정류장명","읍면동코드(법정동)","읍면동명(법정동)","모바일아이디"
"2025-06-13","이동의즐거움","4241074","육림랜드","5111011900","사농동","정보없음"
"2025-06-13","이동의즐거움","4241075","천전2리","5111025022","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241076","율문1리","5111025021","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241077","율문1리","5111025021","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241078","강원테크노파크","5111025021","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241227","파크푸르지오A","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241228","럭키아파트후문","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241231","송암스포츠타운","5111012700","송암동","정보없음"
"2025-06-13","이동의즐거움","4241232","남부시장","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241233","성심경로당","5111012200","교동","정보없음"
"2025-06-13","이동의즐거움","4241234","성심경로당","5111012200","교동","정보없음"
"2025-06-13","이동의즐거움","4241236","원창2리","5111032023","동산면","정보없음"
"2025-06-13","이동의즐거움","4241241","지내3리","5111031021","동면","정보없음"
"2025-06-13","이동의즐거움","4241242","박물관입구","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241243","박물관후문","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241244","춘천한샘고등학교","5111025021","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241246","한샘고후문","5111025021","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241247","춘천시청별관","5111012200","교동","정보없음"
"2025-06-13","이동의즐거움","4241248","춘천시청별관","5111012200","교동","정보없음"
"2025-06-13","이동의즐거움","4241249","춘천역","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241250","현진에버빌3차","5111011000","운교동","정보없음"
"2025-06-13","이동의즐거움","4241251","학곡2리","5111039025","동내면","정보없음"
"2025-06-13","이동의즐거움","4241252","학곡2리","5111039025","동내면","정보없음"
"2025-06-13","이동의즐거움","4241253","춘천중학교","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241254","춘천중학교정문","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241255","엘타워_미소지움","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241256","춘천시보건소","5111011600","소양로4가","정보없음"
"2025-06-13","이동의즐거움","4241257","춘천초등학교","5111010600","중앙로3가","정보없음"
"2025-06-13","이동의즐거움","4241258","강원도농업기술원","5111025024","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241292","천리터","5111038025","북산면","정보없음"
"2025-06-13","이동의즐거움","4241295","팔미3리","5111033022","신동면","정보없음"
"2025-06-13","이동의즐거움","4241296","혈동2리","5111033023","신동면","정보없음"
"2025-06-13","이동의즐거움","4241299","팔미1리","5111033022","신동면","정보없음"
"2025-06-13","이동의즐거움","4241300","팔미리","5111033022","신동면","정보없음"
"2025-06-13","이동의즐거움","4241302","팔미3리","5111033022","신동면","정보없음"
"2025-06-13","이동의즐거움","4241303","팔미쉼터","5111033022","신동면","정보없음"
"2025-06-13","이동의즐거움","4241306","포스코더샵A","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241307","포스코후문","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241308","포스코후문","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241309","포스코더샵A","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241310","율문3리","5111025021","신북읍","1100"
"2025-06-13","이동의즐거움","4241311","하사관주택","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241312","무릉공원","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241313","무릉공원","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241317","학곡리종점","5111039025","동내면","정보없음"
"2025-06-13","이동의즐거움","4241368","지내1리(옥광산입구)","5111031021","동면","정보없음"
"2025-06-13","이동의즐거움","4241372","강원지방경찰청","5111039021","동내면","정보없음"
"2025-06-13","이동의즐거움","4241373","강원지방경찰청","5111039021","동내면","정보없음"
"2025-06-13","이동의즐거움","4241374","거두리주공A","5111039021","동내면","정보없음"
"2025-06-13","이동의즐거움","4241375","성우오스타A","5111039021","동내면","정보없음"
"2025-06-13","이동의즐거움","4241377","파크푸르지오A","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241460","산수리논골","5111040031","남산면","정보없음"
"2025-06-13","이동의즐거움","4241479","논골입구","5111032024","동산면","정보없음"
"2025-06-13","이동의즐거움","4241483","강원체고앞","5111012700","송암동","정보없음"
"2025-06-13","이동의즐거움","4241484","덕만리혈동1리입구","5111033023","신동면","정보없음"
"2025-06-13","이동의즐거움","4241485","혈동2리","5111033023","신동면","정보없음"
"2025-06-13","이동의즐거움","4241486","군자1리","5111032024","동산면","정보없음"
"2025-06-13","이동의즐거움","4241490","송암동","5111012700","송암동","정보없음"
"2025-06-13","이동의즐거움","4241491","송암리","5111036029","사북면","정보없음"
"2025-06-13","이동의즐거움","4241492","송암리","5111036027","사북면","정보없음"
"2025-06-13","이동의즐거움","4241493","송암삼거리","5111036027","사북면","정보없음"
"2025-06-13","이동의즐거움","4241499","수동2리","5111040024","남산면","정보없음"
"2025-06-13","이동의즐거움","4241501","수동리","5111040024","남산면","정보없음"
"2025-06-13","이동의즐거움","4241504","시립요양원입구","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241505","(구)승마장","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241506","(구)승마장","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241507","공지천의암공원","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241508","시립청소년도서관","5111012500","삼천동","2059"
"2025-06-13","이동의즐거움","4241509","시외버스터미널","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241510","시외버스터미널","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241511","시외버스터미널","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241512","M백화점","5111010800","조양동","정보없음"
"2025-06-13","이동의즐거움","4241514","김유정역","5111033024","신동면","정보없음"
"2025-06-13","이동의즐거움","4241515","김유정역","5111033024","신동면","정보없음"
"2025-06-13","이동의즐거움","4241516","신동배터","5111012800","신동","2049"
"2025-06-13","이동의즐거움","4241517","신동배터","5111012800","신동","2048"
"2025-06-13","이동의즐거움","4241518","신동","5111011900","사농동","정보없음"
"2025-06-13","이동의즐거움","4241519","신동삼거리","5111012800","신동","정보없음"
"2025-06-13","이동의즐거움","4241520","신동삼거리","5111012800","신동","정보없음"
"2025-06-13","이동의즐거움","4241523","신매1리","5111035024","서면","2040"
"2025-06-13","이동의즐거움","4241524","신매3리","5111035023","서면","정보없음"
"2025-06-13","이동의즐거움","4241525","증3리","5111033024","신동면","정보없음"
"2025-06-13","이동의즐거움","4241531","지내1리종점","5111025026","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241532","지내2리","5111031021","동면","정보없음"
"2025-06-13","이동의즐거움","4241533","지내2리","5111031021","동면","정보없음"
"2025-06-13","이동의즐거움","4241538","지내리","5111025026","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241539","지내리","5111025026","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241540","지암리","5111036026","사북면","정보없음"
"2025-06-13","이동의즐거움","4241542","지암리","5111036026","사북면","정보없음"
"2025-06-13","이동의즐거움","4241544","지암산천마을","5111036026","사북면","정보없음"
"2025-06-13","이동의즐거움","4241545","지암산천마을","5111036026","사북면","정보없음"
"2025-06-13","이동의즐거움","4241552","신포1리","5111036021","사북면","정보없음"
"2025-06-13","이동의즐거움","4241554","인람리","5111036030","사북면","정보없음"
"2025-06-13","이동의즐거움","4241557","오탄3리종점","5111036023","사북면","정보없음"
"2025-06-13","이동의즐거움","4241559","지암리","5111036026","사북면","정보없음"
"2025-06-13","이동의즐거움","4241561","동면치안센터","5111031024","동면","정보없음"
"2025-06-13","이동의즐거움","4241563","강동농협장학지점","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241566","양지교","5111031022","동면","정보없음"
"2025-06-13","이동의즐거움","4241567","석사2지구A","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241568","후평주공7단지","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241569","한국전력공사입구","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241570","세경3차","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241571","청구_진흥A","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241572","동아_청구A","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241573","후평3동우체국","5111012000","후평동","정보없음"
