조사 순번,정류장 번호,관리번호,정류장명(카카오맵 표시명),정류장명(영어),경도,위도,현행 확인 출처,카카오맵 표시 방면,공식 노선순서 기반 진행방면,카카오맵 정류장 검색 URL,카카오 로드뷰 URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
62,2304,250026568,강촌역,Gangchon Station,127.63372,37.80642,TAGO·카카오맵,강촌리 방면,강촌리 / 강촌1리4반 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%B4%8C%EC%97%AD%202304%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.80642,127.63372",,,,,,,
63,1313,250001145,지암리,Jiam-ri,127.60217,37.97758,TAGO·카카오맵,지암리 방면,지암리 방면,https://map.kakao.com/link/search/%EC%A7%80%EC%95%94%EB%A6%AC%201313%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97758,127.60217",,,,,,,
64,1314,250001146,지암리,Jiam-ri,127.60405,37.97912,TAGO·카카오맵,지암초교 방면,지암초교 방면,https://map.kakao.com/link/search/%EC%A7%80%EC%95%94%EB%A6%AC%201314%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97912,127.60405",,,,,,,
65,1315,250001147,지암리,Jiam-ri,127.61637,37.98263,TAGO·카카오맵,지암리 방면,지암리 방면,https://map.kakao.com/link/search/%EC%A7%80%EC%95%94%EB%A6%AC%201315%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.98263,127.61637",,,,,,,
66,1709,250001811,지암리,Jiam-ri,127.62239,37.97939,TAGO·카카오맵,지암리(3) 방면,지암리(3) 방면,https://map.kakao.com/link/search/%EC%A7%80%EC%95%94%EB%A6%AC%201709%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97939,127.62239",,,,,,,
67,1712,250001814,지암리,Jiam-ri,127.62221,37.97931,TAGO·카카오맵,지암리 방면,지암리 방면,https://map.kakao.com/link/search/%EC%A7%80%EC%95%94%EB%A6%AC%201712%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97931,127.62221",,,,,,,
68,1715,250001817,지내3리,Jinae 3(sam)-ri,127.73085,37.94818,TAGO·카카오맵,지내리 방면,지내리 방면,https://map.kakao.com/link/search/%EC%A7%80%EB%82%B43%EB%A6%AC%201715%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.94818,127.73085",,,,,,,
69,1716,250001818,지내3리,Jinae 3(sam)-ri,127.73068,37.94822,TAGO·카카오맵,지내리 방면,지내리 방면,https://map.kakao.com/link/search/%EC%A7%80%EB%82%B43%EB%A6%AC%201716%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.94822,127.73068",,,,,,,
70,5565,257001455,밤나무골(반곡밤벌유원지/밤나무골),Bamnamugol,127.68835,37.68845,TAGO·카카오맵,밤벌유원지 방면,밤벌유원지 방면,https://map.kakao.com/link/search/%EB%B0%A4%EB%82%98%EB%AC%B4%EA%B3%A8%205565%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.68845,127.68835",,,,,,,
71,5566,257001456,밤나무골(반곡밤벌유원지/밤나무골),Bamnamugol,127.68816,37.68851,TAGO·카카오맵,용골상회 방면,용골상회 방면,https://map.kakao.com/link/search/%EB%B0%A4%EB%82%98%EB%AC%B4%EA%B3%A8%205566%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.68851,127.68816",,,,,,,
72,1038,250001229,중부지구대,Jungbu Police Precinct,127.73851,37.87533,카카오맵,춘천청소년수련관 방면,춘천청소년수련관 방면,https://map.kakao.com/link/search/%EC%A4%91%EB%B6%80%EC%A7%80%EA%B5%AC%EB%8C%80%201038%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87533,127.73851",,,,,,,
73,2536,250026809,도재활병원삼거리,Gangwon-do Rehabilitation Hospital Samgeori,127.73835,37.90307,TAGO·카카오맵,건강생활지원센터 방면,건강생활지원센터 방면,https://map.kakao.com/link/search/%EB%8F%84%EC%9E%AC%ED%99%9C%EB%B3%91%EC%9B%90%EC%82%BC%EA%B1%B0%EB%A6%AC%202536%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.90307,127.73835",,,,,,,
74,1201,250001022,눈썰매장입구,Sledding Slope Entrance,127.59894,37.97498,TAGO·카카오맵,지암2교 방면,지암2교 방면,https://map.kakao.com/link/search/%EB%88%88%EC%8D%B0%EB%A7%A4%EC%9E%A5%EC%9E%85%EA%B5%AC%201201%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97498,127.59894",,,,,,,
75,1753,250001855,KBS방송국,Korean Broadcasting Station,127.72304,37.86791,TAGO·카카오맵,남부사거리 방면,남부사거리 방면,https://map.kakao.com/link/search/KBS%EB%B0%A9%EC%86%A1%EA%B5%AD%201753%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86791,127.72304",,,,있음,,,
76,2212,250002235,보안사거리,Boan Sageori,127.75271,37.87502,TAGO·카카오맵,우미린후문 방면,우미린후문 방면,https://map.kakao.com/link/search/%EB%B3%B4%EC%95%88%EC%82%AC%EA%B1%B0%EB%A6%AC%202212%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87502,127.75271",,,,있음,,,
77,1072,250001263,향교,Hyanggyo,127.73523,37.8817,TAGO·카카오맵,한림대학교 방면,한림대학교 방면,https://map.kakao.com/link/search/%ED%96%A5%EA%B5%90%201072%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.8817,127.73523",,,,,,,
78,1883,250001563,도민일보,Kang Won Domin Ilbo,127.74479,37.89053,TAGO·카카오맵,동산A 방면,동산A 방면,https://map.kakao.com/link/search/%EB%8F%84%EB%AF%BC%EC%9D%BC%EB%B3%B4%201883%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89053,127.74479",,,,,,,
79,1884,250001564,도민일보,Kang Won Domin Ilbo,127.74313,37.89017,TAGO·카카오맵,기계공고 방면,기계공고 방면,https://map.kakao.com/link/search/%EB%8F%84%EB%AF%BC%EC%9D%BC%EB%B3%B4%201884%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89017,127.74313",,,,,,,
80,1169,250000004,거두리주공A,Geodu-ri Jugong Apartment,127.75863,37.85665,TAGO·카카오맵,거두1리 방면,거두1리 / 거두1리사거리 방면,https://map.kakao.com/link/search/%EA%B1%B0%EB%91%90%EB%A6%AC%EC%A3%BC%EA%B3%B5A%201169%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85665,127.75863",,,,있음,,,
81,1406,250001409,청실A,Cheongsil Apartment,127.7584,37.87262,TAGO·카카오맵,석사2지구A 방면,석사2지구A / 롯데마트석사점 방면,https://map.kakao.com/link/search/%EC%B2%AD%EC%8B%A4A%201406%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87262,127.7584",,,,있음,,,
82,1609,250001963,우석초교,Wooseok Elementary School,127.75113,37.86465,TAGO·카카오맵,강원대동문앞 방면,강원대동문앞 방면,https://map.kakao.com/link/search/%EC%9A%B0%EC%84%9D%EC%B4%88%EA%B5%90%201609%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86465,127.75113",,,,,,,
83,1854,250001534,춘천동원학교,Chuncheon Dongwon School,127.78875,37.93016,TAGO·카카오맵,윗샘밭종점 방면,윗샘밭종점 방면,https://map.kakao.com/link/search/%EC%B6%98%EC%B2%9C%EB%8F%99%EC%9B%90%ED%95%99%EA%B5%90%201854%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.93016,127.78875",,,,,,,
84,1855,250001535,춘천동원학교,Chuncheon Dongwon School,127.78858,37.93031,TAGO·카카오맵,상천초등학교 방면,상천초등학교 방면,https://map.kakao.com/link/search/%EC%B6%98%EC%B2%9C%EB%8F%99%EC%9B%90%ED%95%99%EA%B5%90%201855%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.93031,127.78858",,,,있음,,,
85,1787,250001460,발산2리,Balsan 2(i)-ri,127.76123,37.95568,TAGO·카카오맵,발산2리 방면,발산2리 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%201787%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.95568,127.76123",,,,,,,
86,1788,250001461,발산2리,Balsan 2(i)-ri,127.76296,37.9576,TAGO·카카오맵,발산2리 방면,발산2리 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%201788%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.9576,127.76296",,,,,,,
87,1789,250001462,발산2리,Balsan 2(i)-ri,127.76575,37.96058,TAGO·카카오맵,발산2리 방면,발산2리 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%201789%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96058,127.76575",,,,,,,
88,1790,250001463,발산2리,Balsan 2(i)-ri,127.76568,37.96049,TAGO·카카오맵,발산리종점 방면,발산리종점 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%201790%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96049,127.76568",,,,,,,
89,1791,250001464,발산2리,Balsan 2(i)-ri,127.7623,37.96167,TAGO·카카오맵,발산1리1반 방면,발산1리 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%201791%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96167,127.7623",,,,,,,
90,1792,250001465,발산2리,Balsan 2(i)-ri,127.63277,37.73968,TAGO·카카오맵,발산2리(치안센터) 방면,발산2리(치안센터) 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%201792%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.73968,127.63277",,,,,,,
91,1793,250001466,발산2리,Balsan 2(i)-ri,127.63291,37.7396,TAGO·카카오맵,후동2리입구 방면,후동2리입구 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%201793%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.7396,127.63291",,,,,,,
92,2599,250026874,발산2리,Balsan 2(i)-ri,127.76235,37.96157,TAGO·카카오맵,발산2리 방면,발산2리 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%202599%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96157,127.76235",,,,,,,
93,2600,250026875,발산2리,Balsan 2(i)-ri,127.76284,37.95766,TAGO·카카오맵,발산2리 방면,발산2리 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%202600%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.95766,127.76284",,,,,,,
94,2601,250026876,발산2리,Balsan 2(i)-ri,127.76111,37.95571,TAGO·카카오맵,오동초등학교앞 방면,오동초등학교앞 방면,https://map.kakao.com/link/search/%EB%B0%9C%EC%82%B02%EB%A6%AC%202601%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.95571,127.76111",,,,,,,
95,2605,250026880,윗샘밭종점,Witsaembat Terminus,127.7914,37.93158,TAGO·카카오맵,소양강댐사택 방면,소양강댐사택 / 윗샘밭종점 방면,https://map.kakao.com/link/search/%EC%9C%97%EC%83%98%EB%B0%AD%EC%A2%85%EC%A0%90%202605%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.93158,127.7914",,,,,,,
96,1632,250001987,모아엘가A,Korea National Open University Entrance,127.72193,37.87293,TAGO·카카오맵,춘천초등학교 방면,춘천초등학교 / 춘천중학교정문 방면,https://map.kakao.com/link/search/%EB%AA%A8%EC%95%84%EC%97%98%EA%B0%80A%201632%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87293,127.72193",,,,있음,,,
97,2856,265000670,파크자이A,Park Xi Apartment,127.70852,37.86746,TAGO·카카오맵,파크푸르지오A 방면,파크푸르지오A / 온의보배 방면,https://map.kakao.com/link/search/%ED%8C%8C%ED%81%AC%EC%9E%90%EC%9D%B4A%202856%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86746,127.70852",,,,있음,,,
98,2857,265000671,파크자이A,Park Xi Apartment,127.70783,37.86806,TAGO·카카오맵,하사관주택 방면,삼천동사거리 / 하사관주택 방면,https://map.kakao.com/link/search/%ED%8C%8C%ED%81%AC%EC%9E%90%EC%9D%B4A%202857%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86806,127.70783",,,,,,,
99,2617,250026892,천년나무A,Cheonnyeonnamu Apartment,127.73747,37.91277,TAGO·카카오맵,충렬탑입구 방면,충렬탑입구 방면,https://map.kakao.com/link/search/%EC%B2%9C%EB%85%84%EB%82%98%EB%AC%B4A%202617%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.91277,127.73747",,,,있음,,,
100,2618,250026893,천년나무A,Cheonnyeonnamu Apartment,127.73764,37.91296,TAGO·카카오맵,신동초교 방면,신동초교 / 뉴시티코아루A 방면,https://map.kakao.com/link/search/%EC%B2%9C%EB%85%84%EB%82%98%EB%AC%B4A%202618%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.91296,127.73764",,,,있음,,,
101,1384,250001386,교육대학교,Chuncheon National University of Education,127.7471,37.85718,TAGO·카카오맵,여성가족연구원 방면,여성가족연구원 / 거두리부영A 방면,https://map.kakao.com/link/search/%EA%B5%90%EC%9C%A1%EB%8C%80%ED%95%99%EA%B5%90%201384%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85718,127.7471",,,,,,,
102,2495,250026768,e편한세상,ePyeonhansesang Apartment,127.7266,37.8841,TAGO·카카오맵,춘천농협 방면,춘천농협 방면,https://map.kakao.com/link/search/e%ED%8E%B8%ED%95%9C%EC%84%B8%EC%83%81%202495%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.8841,127.7266",,,,있음,,,
103,2642,250026917,강원고앞,Gangwon High School Front,127.75523,37.89519,TAGO·카카오맵,상공회의소 방면,상공회의소 / 장학해온채A 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EA%B3%A0%EC%95%9E%202642%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89519,127.75523",,,,,,,
104,1248,250001071,가정진료소,Gajeong Community Health Center,127.57581,37.73456,TAGO·카카오맵,가정1리 방면,가정1리 방면,https://map.kakao.com/link/search/%EA%B0%80%EC%A0%95%EC%A7%84%EB%A3%8C%EC%86%8C%201248%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.73456,127.57581",,,,,,,
105,1616,250001970,한강수력본부,Hangang Hydro Power Site,127.67899,37.96255,TAGO·카카오맵,고탄입구 방면,고탄입구 방면,https://map.kakao.com/link/search/%ED%95%9C%EA%B0%95%EC%88%98%EB%A0%A5%EB%B3%B8%EB%B6%80%201616%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96255,127.67899",,,,,,,
106,1639,250001994,오탄1리,Otan 1(il)-ri,127.62759,38.0412,TAGO·카카오맵,오탄1리 방면,오탄1리 방면,https://map.kakao.com/link/search/%EC%98%A4%ED%83%841%EB%A6%AC%201639%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.0412,127.62759",,,,,,,
107,1640,250001995,오탄1리,Otan 1(il)-ri,127.62723,38.04115,TAGO·카카오맵,지촌2리 방면,지촌2리 방면,https://map.kakao.com/link/search/%EC%98%A4%ED%83%841%EB%A6%AC%201640%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.04115,127.62723",,,,,,,
108,1644,250001999,오탄1리,Otan 1(il)-ri,127.62181,38.04292,TAGO·카카오맵,오탄리 방면,오탄리 방면,https://map.kakao.com/link/search/%EC%98%A4%ED%83%841%EB%A6%AC%201644%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.04292,127.62181",,,,,,,
109,2325,250026596,간척사거리,Gancheok Sageori,127.81727,38.02793,TAGO·카카오맵,백치고개정상 방면,백치고개정상 방면,https://map.kakao.com/link/search/%EA%B0%84%EC%B2%99%EC%82%AC%EA%B1%B0%EB%A6%AC%202325%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.02793,127.81727",,,,,,,
110,2863,263001765,간척사거리,Gancheok Sageori,127.81727,38.02902,TAGO·카카오맵,추곡터널 방면,추곡터널 방면,https://map.kakao.com/link/search/%EA%B0%84%EC%B2%99%EC%82%AC%EA%B1%B0%EB%A6%AC%202863%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.02902,127.81727",,,,,,,
111,2864,263001766,간척사거리,Gancheok Sageori,127.81599,38.02854,TAGO·카카오맵,배후령터널 방면,장본교 / 장본교앞사거리 방면,https://map.kakao.com/link/search/%EA%B0%84%EC%B2%99%EC%82%AC%EA%B1%B0%EB%A6%AC%202864%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.02854,127.81599",,,,,,,
112,1170,250000005,강원지방경찰청(강원경찰청),Gangwon Provincial Police Agency,127.75868,37.86253,TAGO·카카오맵,그랜드A 방면,그랜드A 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EC%A7%80%EB%B0%A9%EA%B2%BD%EC%B0%B0%EC%B2%AD%201170%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86253,127.75868",,,,,,,
113,1171,250000006,강원지방경찰청(강원경찰청),Gangwon Provincial Police Agency,127.75841,37.86246,TAGO·카카오맵,거두1리 방면,거두1리 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EC%A7%80%EB%B0%A9%EA%B2%BD%EC%B0%B0%EC%B2%AD%201171%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86246,127.75841",,,,,,,
114,1094,265000721,중앙시장입구,Jungang Market Entrance,127.72459,37.87816,TAGO·카카오맵,종점 방면,중앙시장입구 방면,https://map.kakao.com/link/search/%EC%A4%91%EC%95%99%EC%8B%9C%EC%9E%A5%EC%9E%85%EA%B5%AC%201094%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87816,127.72459",,,,,,,
115,1095,250027098,중앙시장입구,Jungang Market Entrance,127.72437,37.87807,TAGO·카카오맵,중앙로입구 방면,중앙로입구 방면,https://map.kakao.com/link/search/%EC%A4%91%EC%95%99%EC%8B%9C%EC%9E%A5%EC%9E%85%EA%B5%AC%201095%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87807,127.72437",,,,,,,
116,2830,250027123,안보2리3반,Anbo 2(i)-ri 3(sam)-ban,127.57897,37.85332,TAGO·카카오맵,무림정사입구 방면,무림정사입구 방면,https://map.kakao.com/link/search/%EC%95%88%EB%B3%B42%EB%A6%AC3%EB%B0%98%202830%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85332,127.57897",,,,,,,
117,2831,250027124,안보2리3반,Anbo 2(i)-ri 3(sam)-ban,127.57885,37.8533,TAGO·카카오맵,안보2리종점 방면,안보2리종점 방면,https://map.kakao.com/link/search/%EC%95%88%EB%B3%B42%EB%A6%AC3%EB%B0%98%202831%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.8533,127.57885",,,,,,,
118,1850,250001529,등선폭포,Deungseon Falls,127.66073,37.82477,TAGO·카카오맵,덕두원3리 방면,덕두원3리 방면,https://map.kakao.com/link/search/%EB%93%B1%EC%84%A0%ED%8F%AD%ED%8F%AC%201850%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.82477,127.66073",,,,있음,,,
119,1851,250001530,등선폭포,Deungseon Falls,127.66041,37.82496,TAGO·카카오맵,강촌유원지 방면,강촌유원지 / 강촌입구 방면,https://map.kakao.com/link/search/%EB%93%B1%EC%84%A0%ED%8F%AD%ED%8F%AC%201851%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.82496,127.66041",,,,있음,,,
120,2512,250026785,오월2리,Owol 2(i)-ri,127.62715,37.96821,TAGO·카카오맵,오월리종점 방면,오월리종점 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202512%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96821,127.62715",,,,,,,
121,2513,250026786,오월2리,Owol 2(i)-ri,127.62918,37.96965,TAGO·카카오맵,오월2리 방면,오월2리 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202513%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96965,127.62918",,,,,,,
122,2514,250026787,오월2리,Owol 2(i)-ri,127.63558,37.97158,TAGO·카카오맵,오월2리 방면,오월2리 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202514%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97158,127.63558",,,,,,,
123,2516,250026789,오월2리,Owol 2(i)-ri,127.6417,37.97519,TAGO·카카오맵,오월리납실교 방면,오월리납실교 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202516%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97519,127.6417",,,,,,,
124,2770,250027046,오월2리,Owol 2(i)-ri,127.64154,37.97515,TAGO·카카오맵,강원숲체험장입구 방면,강원숲체험장입구 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202770%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97515,127.64154",,,,,,,
125,2772,250027048,오월2리,Owol 2(i)-ri,127.62915,37.96975,TAGO·카카오맵,오월2리 방면,오월2리 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202772%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96975,127.62915",,,,,,,
126,2773,250027049,오월2리,Owol 2(i)-ri,127.62729,37.96817,TAGO·카카오맵,오월2리 방면,오월2리 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202773%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.96817,127.62729",,,,,,,
127,2774,250027050,오월2리,Owol 2(i)-ri,127.63562,37.97148,TAGO·카카오맵,강원숲체험장입구 방면,강원숲체험장입구 방면,https://map.kakao.com/link/search/%EC%98%A4%EC%9B%942%EB%A6%AC%202774%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97148,127.63562",,,,,,,
128,5571,257001479,반곡,Bangok,127.66785,37.69461,TAGO,,반곡초교 방면,https://map.kakao.com/link/search/%EB%B0%98%EA%B3%A1%205571%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69461,127.66785",,,,,,,
129,5572,257001480,반곡,Bangok,127.66711,37.69372,TAGO,,반곡교 방면,https://map.kakao.com/link/search/%EB%B0%98%EA%B3%A1%205572%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69372,127.66711",,,,,,,
130,1772,250001874,정부합동청사,Government Complex,127.74964,37.88843,TAGO·카카오맵,기계공고 방면,기계공고 / 도민일보 방면,https://map.kakao.com/link/search/%EC%A0%95%EB%B6%80%ED%95%A9%EB%8F%99%EC%B2%AD%EC%82%AC%201772%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.88843,127.74964",,,,,,,
