stop_no,management_id,stop_name,name_candidate_count,strict_candidate_count,selected_boarding_stop_id,current_route_count,boarding_route_count,decision,lookup_date
1609,250001963,우석초교,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1854,250001534,춘천동원학교,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1855,250001535,춘천동원학교,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1787,250001460,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
1788,250001461,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
1789,250001462,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
1790,250001463,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
1791,250001464,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
1792,250001465,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
1793,250001466,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
2599,250026874,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
2600,250026875,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
2601,250026876,발산2리,6,0,,,,unresolved_route_set_not_equal,2026-07-21
2605,250026880,윗샘밭종점,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2856,265000670,파크자이A,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2857,265000671,파크자이A,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2617,250026892,천년나무A,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2618,250026893,천년나무A,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1384,250001386,교육대학교,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1616,250001970,한강수력본부,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1639,250001994,오탄1리,3,0,,,,unresolved_route_set_not_equal,2026-07-21
1640,250001995,오탄1리,3,0,,,,unresolved_route_set_not_equal,2026-07-21
1644,250001999,오탄1리,3,0,,,,unresolved_route_set_not_equal,2026-07-21
2325,250026596,간척사거리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2863,263001765,간척사거리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2864,263001766,간척사거리,0,0,,,,unresolved_no_name_candidate,2026-07-21
1170,250000005,강원지방경찰청(강원경찰청),2,0,,,,unresolved_route_set_not_equal,2026-07-21
1171,250000006,강원지방경찰청(강원경찰청),2,0,,,,unresolved_route_set_not_equal,2026-07-21
1094,265000721,중앙시장입구,0,0,,,,unresolved_no_name_candidate,2026-07-21
1095,250027098,중앙시장입구,0,0,,,,unresolved_no_name_candidate,2026-07-21
2830,250027123,안보2리3반,0,0,,,,unresolved_no_name_candidate,2026-07-21
2831,250027124,안보2리3반,0,0,,,,unresolved_no_name_candidate,2026-07-21
1850,250001529,등선폭포,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1851,250001530,등선폭포,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2512,250026785,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2513,250026786,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2514,250026787,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2516,250026789,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2770,250027046,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2772,250027048,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2773,250027049,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
2774,250027050,오월2리,0,0,,,,unresolved_no_name_candidate,2026-07-21
5571,257001479,반곡,0,0,,,,unresolved_no_name_candidate,2026-07-21
5572,257001480,반곡,0,0,,,,unresolved_no_name_candidate,2026-07-21
1772,250001874,정부합동청사,2,0,,,,unresolved_route_set_not_equal,2026-07-21
