순번,설치 정류장명,위도,경도,정류장 번호,설치 단말기 종류,설치연월,음성사용여부,표출시간,외국어지원여부,데이터기준일자
265,현진에버빌1차,37.85034,127.74735,1661,LCD(거치형),2018-11-22,사용,05:00 ~ 23:30,사용,2025-11-14
266,춘천국유림관리소,37.9305,127.77287,1421,LCD(거치형),2018-11-22,사용,05:00 ~ 23:30,사용,2025-11-14
267,소양강처녀상,37.8932,127.72493,2287,LCD(거치형),2019-11-10,사용,05:00 ~ 23:30,사용,2025-11-14
268,한국전력공사입구,37.88354,127.74892,1087,LCD(거치형),2019-11-10,사용,05:00 ~ 23:30,사용,2025-11-14
269,중앙하이츠1차,37.85445,127.73673,1744,LCD(거치형),2019-11-10,사용,05:00 ~ 23:30,사용,2025-11-14
270,강원대백록관,37.86861,127.74137,2631,LCD(독립형),2019-11-10,사용,05:00 ~ 23:30,미사용,2025-11-14
271,뉴시티코아루A,37.91278,127.72584,2614,LCD(거치형),2021-08-31,사용,05:00 ~ 23:30,사용,2025-11-14
272,새마을고개,37.87107,127.73241,2152,LCD(거치형),2019-11-10,사용,05:00 ~ 23:30,사용,2025-11-14
273,한숲시티A,37.85337,127.72975,2728,LED(거치형),2020-03-18,사용,05:00 ~ 23:30,미사용,2025-11-14
274,한숲시티A,37.85316,127.72947,2729,LED(거치형),2020-03-18,사용,05:00 ~ 23:30,미사용,2025-11-14
275,샘밭장터,37.9245,127.74614,2734,LED(거치형),2020-05-29,사용,05:00 ~ 23:30,미사용,2025-11-14
276,방동1리,37.89697,127.67012,1436,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
277,(구)농업기술원,37.90056,127.73559,1932,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
278,시외버스터미널,37.863302,127.718772,시외버스터미널 내부,PDP,2009-06-30,사용,05:00 ~ 23:30,미사용,2025-11-14
279,시립청소년도서관,37.87137,127.70841,청소년도서관 내부,PDP,2023-10-01,사용,05:00 ~ 23:30,미사용,2025-11-14
280,면허시험장입구,37.9455,127.75158,면허시험장 내부,PDP,2009-10-31,사용,05:00 ~ 23:30,미사용,2025-11-14
281,명동입구,37.87971,127.72668,지하상가 내부,PDP,2023-10-01,사용,05:00 ~ 23:30,미사용,2025-11-14
282,호반체육관,37.86541,127.75526,호반체육관 내부,PDP,2017-11-17,사용,05:00 ~ 23:30,미사용,2025-11-14
283,동면만천농협,37.88192,127.76073,1830,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
284,서부시장,37.88581,127.72404,2141,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
285,초록지붕6차,37.88077,127.7547,2100,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
286,인형극장앞,37.92105,127.72106,2836,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
287,세경3차,37.88451,127.7437,2102,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
288,퇴계주공6단지,37.85124,127.743,1660,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
289,중앙로입구,37.87749,127.7242,1745,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
290,중앙로입구,37.87707,127.72308,1011,LCD(거치형),7430-05-02,사용,05:00 ~ 23:30,사용,2025-11-14
291,퇴계주공6차,37.85119,127.74112,1123,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
292,강원대정문,37.86652,127.73783,2632,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
293,봉의중학교,37.87912,127.7416,2205,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
294,춘천역육교앞,37.88479,127.71534,1961,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
295,남춘천초교,37.86045,127.72193,1940,LCD(거치형),2023-11-01,사용,05:00 ~ 23:30,사용,2025-11-14
296,홈플러스,37.85083,127.73566,1116,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
297,전인고등학교,37.78755,127.75204,1357,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
298,성심경로당,37.88121,127.74002,2251,LED(독립형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
299,춘천청소년수련관,37.87433,127.74071,1996,LED(독립형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
300,남부사거리,37.87154,127.7246,1670,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
301,남춘천여중,37.8583,127.72056,2611,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
302,남춘천여중,37.85788,127.72104,1612,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
303,방송통신대앞,37.87193,127.72081,2606,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
304,후평주공4단지후문,37.8749,127.75764,1022,LCD(거치형),2022-10-07,사용,05:00 ~ 23:30,사용,2025-11-14
305,삼천동사거리,37.86941,127.707,2167,LCD(거치형),2023-11-01,사용,05:00 ~ 23:30,사용,2025-11-14
306,온의사거리,37.86578,127.72134,1628,LCD(거치형),2023-11-01,사용,05:00 ~ 23:30,사용,2025-11-14
307,화목원,37.92221,127.72328,1043,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
308,동광주유소,37.88988,127.75171,1882,LED(거치형),2023-02-20,사용,05:00 ~ 23:30,미사용,2025-11-14
309,천전3리,37.92991,127.78027,1419,LCD(거치형),2022-07-24,사용,05:00 ~ 23:30,사용,2025-11-14
310,우석초교,37.865,127.75018,1608,LED(거치형),2023-02-20,사용,05:00 ~ 23:30,미사용,2025-11-14
311,파크자이A,37.86805,127.7078,2405,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
312,퇴계주공4차,37.85472,127.74608,1126,LCD(거치형),2023-11-01,사용,05:00 ~ 23:30,사용,2025-11-14
313,그랜드A,37.86696,127.75605,1610,LCD(거치형),2023-11-01,사용,05:00 ~ 23:30,사용,2025-11-14
314,퇴계일성A,37.86621,127.72678,2291,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
315,홈플러스,37.85079,127.73524,2278,LED(거치형),2020-05-29,사용,05:00 ~ 23:30,미사용,2025-11-14
316,두미르A,37.90202,127.72821,1852,LCD(거치형),2017-06-04,사용,05:00 ~ 23:30,사용,2025-11-14
317,교대부설초교,37.86984,127.73103,2202,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
318,휴먼타운A,37.85436,127.74057,1124,LCD(거치형),2017-06-04,사용,05:00 ~ 23:30,사용,2025-11-14
319,하사관주택,37.86456,127.70712,1098,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
320,한강수력본부,37.96261,127.67859,1617,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
321,파크에뷰A,37.910588,127.735493,1413,LED(거치형),2024-10-30,사용,05:00 ~ 23:30,미사용,2025-11-14
322,롯데캐슬더퍼스트,37.908506,127.732463,1742,LED(거치형),2024-10-30,사용,05:00 ~ 23:30,미사용,2025-11-14
323,온의롯데캐슬,37.869307,?127.718577,1050,LED(거치형),2024-10-30,사용,05:00 ~ 23:30,미사용,2025-11-14
324,시외버스터미널,37.863303,127.717421,2056,LED(거치형),2024-10-30,사용,05:00 ~ 23:30,미사용,2025-11-14
325,유승한내들,37.861954,127.730882,1567,LED(거치형),2024-10-30,사용,05:00 ~ 23:30,미사용,2025-11-14
326,모아엘가비스타,37.841912,?127.756817,2150,LCD(거치형),2021-04-15,사용,05:00 ~ 23:30,사용,2025-11-14
327,모아엘가비스타,37.841954,?127.757124,2252,LCD(거치형),2021-04-15,사용,05:00 ~ 23:30,사용,2025-11-14
328,모아엘가그랑데,37.839406,127.756103,2254,LCD(거치형),2021-04-15,사용,05:00 ~ 23:30,사용,2025-11-14
329,모아엘가그랑데,37.839254,127.756353,2255,LCD(거치형),2021-04-15,사용,05:00 ~ 23:30,사용,2025-11-14
330,장학교차로,37.893796,127.755566,2505,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
331,호반환승센터,37.89352,127.72499,2286,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
332,한림대학교,37.883117,127.737286,1084,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
333,시외버스터미널,37.864319,127.71985,2058,스마트정류장 키오스크,2009-06-30,사용,05:00 ~ 23:30,미사용,2025-11-14
334,시외버스터미널,37.863724,127.719973,2057,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
335,롯데인벤스,37.899827,127.730912,1845,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
336,춘천한샘고등학교,37.925236,127.751076,1362,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
337,충인교회,37.879546,127.749976,1517,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
338,교육대학교,37.858139,127.746456,1383,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
339,춘천역,37.884935,127.71775,1164,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
340,춘천역,37.885082,127.718078,2288,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
341,강원대후문,37.872758,127.74416,1480,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
342,인성병원,37.88109,127.72659,1532,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
343,뜨란채A,37.849834,127.744211,1338,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
344,동면행정복지센터,37.909965,127.781483,1875,스마트정류장 키오스크,2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
345,김유정역,37.817209,127.715075,2051,스마트정류장 키오스크,2022-09-02,사용,05:00 ~ 23:31,미사용,2025-11-14
