순번,설치 정류장명,위도,경도,정류장 번호,설치 단말기 종류,설치연월,음성사용여부,표출시간,외국어지원여부,데이터기준일자
104,동아/청구A,37.87026,127.75433,1415,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
105,일성트루엘A,37.87749,127.74849,1751,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
106,미소지움/방송대,37.87329,127.72014,1631,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
107,춘천지방법원,37.86609,127.73414,2216,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
108,서면행정복지센터,37.89834,127.69402,2145,LCD(독립형),2017-06-04,사용,05:00 ~ 23:30,미사용,2025-11-14
109,남춘천역,37.86412,127.72331,2295,LCD(거치형),2015-07-15,사용,05:00 ~ 23:30,사용,2025-11-14
110,춘천농협,37.88365,127.72328,1370,LCD(거치형),2017-06-04,사용,05:00 ~ 23:30,사용,2025-11-14
111,거두리부영A,37.85561,127.75154,1847,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
112,성우오스타A,37.85635,127.7548,1168,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
113,거두리주공A,37.85686,127.75944,1169,LCD(거치형),2021-08-19,사용,05:00 ~ 23:30,사용,2025-11-14
114,호반베르디움,37.85717,127.75935,2284,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
115,우미린후문,37.87721,127.75193,1702,LCD(거치형),2017-06-04,사용,05:00 ~ 23:30,사용,2025-11-14
116,유앤아이A,37.87981,127.76324,2266,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
117,남춘천중학교,37.86059,127.72139,1941,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
118,청와A,37.88146,127.71345,1963,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
119,한국전력공사입구,37.8835,127.74863,1086,LCD(거치형),2019-10-08,사용,05:00 ~ 23:30,사용,2025-11-14
