관리번호,정류장명,lat,lng,한낮승차,미확인시설목록,로드뷰URL
250026567,강촌역,37.80629,127.6343,359,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.80629,127.6343"
257800106,용골상회,37.69151,127.67979,219,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69151,127.67979"
257800107,용골상회,37.69125,127.6799,219,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69125,127.6799"
250026903,강원대중앙도서관,37.8711,127.74415,194,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.8711,127.74415"
250026904,강원대중앙도서관,37.87107,127.7443,194,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.87107,127.7443"
257800108,반곡망단이,37.69522,127.67385,192,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69522,127.67385"
257800109,반곡망단이,37.69508,127.67378,192,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69508,127.67378"
250026741,구곡폭포종점,37.79725,127.61677,154,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.79725,127.61677"
250001725,거두1리,37.86199,127.76704,74,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.86199,127.76704"
250001726,거두1리,37.86208,127.76721,74,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.86208,127.76721"
250001951,폴리텍대학,37.79734,127.77377,58,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.79734,127.77377"
257001453,밤벌유원지,37.69205,127.69013,57,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69205,127.69013"
257001454,밤벌유원지,37.69202,127.68996,57,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69202,127.68996"
250027125,무림정사입구,37.86425,127.58285,53,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.86425,127.58285"
250027126,무림정사입구,37.8642,127.58272,53,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.8642,127.58272"
250002127,한림대학교,37.88355,127.7384,2072,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.88355,127.7384"
265000872,장학교차로,37.89256,127.7556,1720,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.89256,127.7556"
250002198,산천1리,37.94754,127.75226,42,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.94754,127.75226"
250002199,산천1리,37.94778,127.75233,42,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.94778,127.75233"
250001749,강원대학병원,37.87484,127.74331,1158,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87484,127.74331"
250002200,산수빌A,37.84752,127.76486,40,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.84752,127.76486"
257800113,역전평,37.72871,127.79631,39,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.72871,127.79631"
257800114,역전평,37.72867,127.7965,39,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.72867,127.7965"
250001758,애니고등학교,37.90492,127.70024,38,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.90492,127.70024"
250001954,원창1리,37.78839,127.74998,38,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.78839,127.74998"
250001955,원창1리,37.78828,127.75005,38,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.78828,127.75005"
265000756,홈플러스,37.85092,127.73385,806,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85092,127.73385"
250026689,홈플러스,37.85085,127.73411,806,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85085,127.73411"
250001594,대원사,37.84507,127.68557,36,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.84507,127.68557"
250001595,대원사,37.84517,127.6857,36,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.84517,127.6857"
