위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.84767,127.74083,정류장,퇴계주공9차,강원특별자치도 춘천시 퇴계동 1024,1,교통과,2026-06-01
37.84784,127.74092,정류장,퇴계주공7단지,강원특별자치도 춘천시 퇴계동 1023,1,교통과,2026-06-01
37.85115,127.74079,정류장,퇴계주공6차A,강원특별자치도 춘천시 퇴계동 1014-1,1,교통과,2026-06-01
37.85142,127.74157,정류장,퇴계주공6차,강원특별자치도 춘천시 퇴계동 996,1,교통과,2026-06-01
37.85122,127.74101,정류장,퇴계주공6차,강원특별자치도 춘천시 퇴계동 1014-1,1,교통과,2026-06-01
37.85436,127.74057,정류장,퇴계주공5차A,강원특별자치도 춘천시 거두리 936,1,교통과,2026-06-01
37.85361,127.74545,정류장,퇴계주공4차,강원특별자치도 춘천시 석사동 828,1,교통과,2026-06-01
37.85472,127.74608,정류장,퇴계주공4차,강원특별자치도 춘천시 석사동 828,1,교통과,2026-06-01
37.85578,127.74472,정류장,퇴계주공3.4차,강원특별자치도 춘천시 석사동 818,1,교통과,2026-06-01
37.85567,127.74437,정류장,퇴계주공3.4차,강원특별자치도 춘천시 석사동 818,1,교통과,2026-06-01
37.85841,127.7371,정류장,퇴계주공2차,강원특별자치도 춘천시 퇴계동 983,1,교통과,2026-06-01
37.85871,127.73698,정류장,퇴계주공1차,강원특별자치도 춘천시 퇴계동 969,1,교통과,2026-06-01
37.85962,127.72326,정류장,퇴계우체국,강원특별자치도 춘천시 퇴계동 884-1,1,교통과,2026-06-01
37.85998,127.73021,정류장,퇴계우성A,강원특별자치도 춘천시 퇴계동 384-21,1,교통과,2026-06-01
37.85931,127.72743,정류장,남부초교,강원특별자치도 춘천시 퇴계동 908-3,1,교통과,2026-06-01
37.8474,127.73264,정류장,퇴계농공단지입구,강원특별자치도 춘천시 퇴계동 483-2,1,교통과,2026-06-01
37.84907,127.73881,정류장,퇴계금호A,강원특별자치도 춘천시 퇴계동 945,1,교통과,2026-06-01
37.88312,127.74767,정류장,토우시장,강원특별자치도 춘천시 후평1동 704-4,1,교통과,2026-06-01
37.94627,127.69971,정류장,탑말,강원특별자치도 춘천시 서상리 259,1,교통과,2026-06-01
37.8805,127.74408,정류장,크로바A,강원특별자치도 춘천시 후평1동 719,1,교통과,2026-06-01
37.88071,127.74503,정류장,크로바A,강원특별자치도 춘천시 후평2동 719,1,교통과,2026-06-01
37.83657,127.71404,정류장,칠전동고개,강원특별자치도 춘천시 칠전동 216-5,1,교통과,2026-06-01
37.84246,127.71413,정류장,칠전동,강원특별자치도 춘천시 칠전동 554,1,교통과,2026-06-01
37.84142,127.71448,정류장,칠전동사거리,강원특별자치도 춘천시 칠전동 596,1,교통과,2026-06-01
37.84417,127.7118,정류장,칠전대우A,강원특별자치도 춘천시 칠전동 546-2,3,교통과,2026-06-01
37.84436,127.71177,정류장,칠전대우A,강원특별자치도 춘천시 칠전동 530,1,교통과,2026-06-01
