boarding_stop_id,boarding_stop_names,legal_district_codes,legal_district_names,stop_no,management_id,current_stop_name,longitude,latitude,midday_boardings,match_status,match_method,confidence,source_record_count,boarding_sample_period,mapping_source_dates
4240152,봄내초교,5111012400,석사동,,,,,,190,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240153,설미종점,5111033022,신동면,,,,,,10,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240154,현진에버빌2차,5111012400,석사동,,,,,,194,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240155,성림초등학교,5111012400,석사동,,,,,,20,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240156,한림대학교,5111012200,교동,,,,,,1634,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240157,성원초등학교,5111012300,퇴계동,,,,,,374,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240158,세경3차,5111012000,후평동,,,,,,56,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240159,초록지붕6차,5111012000,후평동,,,,,,128,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240160,초록지붕8차,5111012000,후평동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240161,사우사거리,5111011800,우두동,,,,,,774,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240162,소양2교,5111011800,우두동,,,,,,176,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240163,소양강댐사택,5111025022,신북읍,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240164,소양강댐사택,5111025022,신북읍,2095,265000803,소양강댐사택,127.79357,37.93266,8,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240165,소양강댐정상,5111025022,신북읍,2094,250002117,소양강댐정상,127.81268,37.9476,4,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240166,소양강댐주차장,5111025022,신북읍,,,,,,8,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240167,소양로1가,5111011300,소양로1가,,,,,,280,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240169,소양로2가,5111011400,소양로2가,,,,,,62,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240172,소양중학교,5111011900,사농동,,,,,,56,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240173,소양초교,5111011800,우두동,,,,,,202,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240174,소양초교,5111011800,우두동,,,,,,16,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240176,등선폭포주차장,5111035028,서면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240177,지암초교,5111036026,사북면,,,,,,8,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240178,지암초교,5111036026,사북면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240179,한국국토정보공사,5111012000,후평동,,,,,,398,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240180,우미린후문,5111012000,후평동,,,,,,338,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240183,지촌3리,5111036022,사북면,,,,,,16,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240184,지촌3리,5111036022,사북면,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240185,현지사,5111036022,사북면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240186,청구_진흥A,5111012400,석사동,,,,,,112,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240187,창촌1리,5111040025,남산면,1693,250001795,창촌1리,127.64697,37.78944,6,inferred,tago_route_number_and_adjacent_stop_unique,medium,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240188,창촌3거리,5111040025,남산면,,,,,,30,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240189,창촌3거리,5111040025,남산면,,,,,,18,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240195,충인교회,5111012000,후평동,,,,,,1022,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240196,신한은행후평동지점,5111012000,후평동,,,,,,430,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240197,(구)102보충대,5111025027,신북읍,1515,250001784,(구)102보충대,127.71229,37.9408,14,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240198,(구)102보충대,5111025027,신북읍,1514,250001783,(구)102보충대,127.7122,37.94131,,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240199,팔호광장,5111011200,효자동,,,,,,28,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240229,오항리종점,5111038025,북산면,1637,250001992,오항리종점,127.90446,37.97754,0,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240230,추곡1리3반,5111038024,북산면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240237,온의사거리,5111012100,온의동,,,,,,402,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240238,퇴계농공단지입구,5111012300,퇴계동,,,,,,6,unresolved,,,2,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240239,휴먼타운A,5111012400,석사동,,,,,,30,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240240,은행나무공원,5111012100,온의동,,,,,,48,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240241,럭키아파트후문,5111012100,온의동,,,,,,6,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240242,시외버스터미널,5111012100,온의동,,,,,,80,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240243,하사관주택,5111012500,삼천동,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240244,88공원,5111012100,온의동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240245,칠전동사거리,5111012600,칠전동,,,,,,100,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240248,삼악호수케이블카,5111012500,삼천동,,,,,,136,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240250,김유정문학촌,5111033024,신동면,,,,,,20,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240259,덕두원2리,5111035028,서면,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240261,새말교,5111035029,서면,2149,250002172,새말교,127.61068,37.8465,,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240264,방동1리,5111035027,서면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240267,등선폭포,5111035028,서면,1851,250001530,등선폭포,127.66041,37.82496,22,inferred,tago_route_number_and_adjacent_stop_unique,medium,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240268,강촌유원지,5111040027,남산면,1465,250001732,강촌유원지,127.63349,37.81359,2,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240269,강촌검문소,5111035029,서면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240270,강촌리,5111040027,남산면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240290,장절공,5111035027,서면,,,,,,8,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240291,방동2리,5111035027,서면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240302,(구)상걸초,5111031030,동면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240305,고성2리(용화산입구),5111036028,사북면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240311,운전면허시험장,5111025024,신북읍,,,,,,20,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240312,면허시험장입구,5111025024,신북읍,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240313,춘천한샘고등학교,5111025021,신북읍,,,,,,58,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240314,항공대정문,5111025021,신북읍,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240315,천전2리,5111025022,신북읍,1557,250001910,천전2리,127.76946,37.93053,18,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240317,지내1리(옥광산입구),5111031021,동면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240321,용산1리,5111025027,신북읍,1619,250001973,용산1리,127.71073,37.94282,,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240323,신매1리,5111035024,서면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240324,지내1리마을회관,5111025026,신북읍,,,,,,6,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240326,월송1리,5111035026,서면,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240327,신동보급대,5111011900,사농동,,,,,,10,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240328,화목원,5111011900,사농동,,,,,,6,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240329,서춘천농협,5111035023,서면,,,,,,14,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240330,인형극장,5111011900,사농동,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240332,현지사,5111036022,사북면,,,,,,26,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240334,사북우체국,5111036022,사북면,,,,,,12,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240335,사북우체국,5111036022,사북면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240336,사암1리,5111039024,동내면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240338,사암1리,5111039024,동내면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240402,사암3리,5111039024,동내면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240403,사암4리,5111039025,동내면,,,,,,12,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240404,사암4리종점,5111039024,동내면,,,,,,10,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240406,(구)싸이클경기장,5111012500,삼천동,,,,,,6,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240408,산수빌A,5111039022,동내면,,,,,,40,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240409,산수빌A,5111039022,동내면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240410,산천1리,5111025024,신북읍,,,,,,26,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240412,산천1리,5111025024,신북읍,,,,,,16,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240413,산천1리,5111025024,신북읍,2175,250002198,산천1리,127.75226,37.94754,0,inferred,tago_route_number_and_adjacent_stop_unique,medium,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240415,의암댐,5111035028,서면,,,,,,16,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
