"정류장 번호","카카오 로드뷰 URL","그늘","의자","조명","도착안내기","비고"
"1789","https://map.kakao.com/link/roadview/37.96058,127.76575","","","","",""
"1790","https://map.kakao.com/link/roadview/37.96049,127.76568","","","","",""
"1791","https://map.kakao.com/link/roadview/37.96167,127.7623","","","","",""
"1792","https://map.kakao.com/link/roadview/37.73968,127.63277","","","","",""
"1793","https://map.kakao.com/link/roadview/37.7396,127.63291","","","","",""
"2599","https://map.kakao.com/link/roadview/37.96157,127.76235","","","","",""
"2600","https://map.kakao.com/link/roadview/37.95766,127.76284","","","","",""
"2601","https://map.kakao.com/link/roadview/37.95571,127.76111","","","","",""
"2605","https://map.kakao.com/link/roadview/37.93158,127.7914","","","","",""
"1632","https://map.kakao.com/link/roadview/37.87293,127.72193","","","","있음",""
"2856","https://map.kakao.com/link/roadview/37.86746,127.70852","","","","있음",""
"2857","https://map.kakao.com/link/roadview/37.86806,127.70783","","","","",""
"2617","https://map.kakao.com/link/roadview/37.91277,127.73747","","","","있음",""
"2618","https://map.kakao.com/link/roadview/37.91296,127.73764","","","","있음",""
"1384","https://map.kakao.com/link/roadview/37.85718,127.7471","","","","",""
"2495","https://map.kakao.com/link/roadview/37.8841,127.7266","","","","있음",""
"2642","https://map.kakao.com/link/roadview/37.89519,127.75523","","","","",""
"1248","https://map.kakao.com/link/roadview/37.73456,127.57581","","","","",""
"1616","https://map.kakao.com/link/roadview/37.96255,127.67899","","","","",""
"1639","https://map.kakao.com/link/roadview/38.0412,127.62759","","","","",""
"1640","https://map.kakao.com/link/roadview/38.04115,127.62723","","","","",""
"1644","https://map.kakao.com/link/roadview/38.04292,127.62181","","","","",""
"2325","https://map.kakao.com/link/roadview/38.02793,127.81727","","","","",""
"2863","https://map.kakao.com/link/roadview/38.02902,127.81727","","","","",""
"2864","https://map.kakao.com/link/roadview/38.02854,127.81599","","","","",""
"1170","https://map.kakao.com/link/roadview/37.86253,127.75868","","","","",""
"1171","https://map.kakao.com/link/roadview/37.86246,127.75841","","","","",""
"1094","https://map.kakao.com/link/roadview/37.87816,127.72459","","","","",""
"1095","https://map.kakao.com/link/roadview/37.87807,127.72437","","","","",""
"2830","https://map.kakao.com/link/roadview/37.85332,127.57897","","","","",""
"2831","https://map.kakao.com/link/roadview/37.8533,127.57885","","","","",""
"1850","https://map.kakao.com/link/roadview/37.82477,127.66073","","","","있음",""
"1851","https://map.kakao.com/link/roadview/37.82496,127.66041","","","","있음",""
"2512","https://map.kakao.com/link/roadview/37.96821,127.62715","","","","",""
"2513","https://map.kakao.com/link/roadview/37.96965,127.62918","","","","",""
"2514","https://map.kakao.com/link/roadview/37.97158,127.63558","","","","",""
"2516","https://map.kakao.com/link/roadview/37.97519,127.6417","","","","",""
"2770","https://map.kakao.com/link/roadview/37.97515,127.64154","","","","",""
"2772","https://map.kakao.com/link/roadview/37.96975,127.62915","","","","",""
"2773","https://map.kakao.com/link/roadview/37.96817,127.62729","","","","",""
"2774","https://map.kakao.com/link/roadview/37.97148,127.63562","","","","",""
"5571","https://map.kakao.com/link/roadview/37.69461,127.66785","","","","",""
"5572","https://map.kakao.com/link/roadview/37.69372,127.66711","","","","",""
"1772","https://map.kakao.com/link/roadview/37.88843,127.74964","","","","",""
"2000","https://map.kakao.com/link/roadview/37.85698,127.73563","","","","있음",""
"1974","https://map.kakao.com/link/roadview/37.79745,127.6165","","","","",""
"2842","https://map.kakao.com/link/roadview/37.85875,127.71848","","","","",""
"1008","https://map.kakao.com/link/roadview/37.91212,127.73956","","","","",""
"2243","https://map.kakao.com/link/roadview/37.88122,127.73981","","","","",""
"2251","https://map.kakao.com/link/roadview/37.88121,127.74002","","","","있음",""
"2286","https://map.kakao.com/link/roadview/37.89369,127.72589","","","","미확인","BIT 원본은 동일 번호 2286을 호반환승센터로 표기하나, 현행 TAGO·카카오맵은 소양강처녀상으로 일치하고 좌표도 약 81m 차이여서 BIT 설치 여부 현장확인 필요"
"2331","https://map.kakao.com/link/roadview/37.85738,127.7397","","","","",""
"1097","https://map.kakao.com/link/roadview/37.85609,127.73933","","","","",""
"1336","https://map.kakao.com/link/roadview/37.87,127.70365","","","","",""
"1358","https://map.kakao.com/link/roadview/37.87055,127.70345","","","","",""
"2167","https://map.kakao.com/link/roadview/37.86983,127.70743","","","","있음",""
"2124","https://map.kakao.com/link/roadview/37.85989,127.7446","","","","있음",""
"2150","https://map.kakao.com/link/roadview/37.84188,127.75686","","","","있음",""
"2252","https://map.kakao.com/link/roadview/37.84188,127.75712","","","","있음",""
"1061","https://map.kakao.com/link/roadview/37.88497,127.6836","","","","",""
"1062","https://map.kakao.com/link/roadview/37.8768,127.67753","","","","",""
"1063","https://map.kakao.com/link/roadview/37.87684,127.67772","","","","",""
"1031","https://map.kakao.com/link/roadview/37.76028,127.62688","","","","",""
"1053","https://map.kakao.com/link/roadview/37.78797,127.68514","","","","",""
"1054","https://map.kakao.com/link/roadview/37.78795,127.68526","","","","",""
"1140","https://map.kakao.com/link/roadview/37.88758,127.68525","","","","",""
"1188","https://map.kakao.com/link/roadview/37.84118,127.61","","","","",""
"1194","https://map.kakao.com/link/roadview/37.75621,127.81157","","","","",""
"1195","https://map.kakao.com/link/roadview/37.75151,127.82282","","","","",""
"1203","https://map.kakao.com/link/roadview/37.97923,127.60395","","","","",""
"1204","https://map.kakao.com/link/roadview/37.98281,127.61624","","","","",""
"1209","https://map.kakao.com/link/roadview/37.99468,127.73535","","","","",""
"1211","https://map.kakao.com/link/roadview/37.99235,127.73044","","","","",""
"1215","https://map.kakao.com/link/roadview/38.00113,127.68982","","","","",""
"1216","https://map.kakao.com/link/roadview/37.99578,127.68335","","","","",""
"1220","https://map.kakao.com/link/roadview/37.99585,127.68348","","","","",""
"1224","https://map.kakao.com/link/roadview/37.99083,127.65946","","","","",""
