정류장 번호,관리번호,정류장명,정류장명(영어),경도,위도,데이터기준일
1062,250001253,현암리,Hyeonam-ri,127.67753,37.8768,2026-03-26
1063,250001254,현암리,Hyeonam-ri,127.67772,37.87684,2026-03-26
1064,250001255,현암리,Hyeonam-ri,127.6838,37.88493,2026-03-26
1065,250001256,현암리,Hyeonam-ri,127.68755,37.88883,2026-03-26
1066,250001257,강원도재활병원,Gangwondo Rehabilitation Hospital,127.73841,37.90354,2026-03-26
1067,265000756,홈플러스,Homeplus,127.73385,37.85092,2026-03-26
1068,250001259,후평현대3차,Hupyeong Hyundai 3(sam)-cha Apartment,127.75165,37.8808,2026-03-26
1069,250001260,신촌2리,Sinchon 2(i)-ri,127.76652,37.84695,2026-03-26
1070,250001261,신촌2리,Sinchon 2(i)-ri,127.7665,37.8471,2026-03-26
1071,250001262,향교,Hyanggyo,127.73466,37.8815,2026-03-26
1072,250001263,향교,Hyanggyo,127.73523,37.8817,2026-03-26
1073,250001264,행촌리,Haengchon-ri,127.67824,37.74218,2026-03-26
1074,250001265,행촌리,Haengchon-ri,127.67874,37.7421,2026-03-26
1075,250001266,춘천경찰서,Chuncheon Police Station,127.72473,37.87064,2026-03-26
1076,250001267,율문2리,Yulmun 2(i)-ri,127.75584,37.92692,2026-03-26
1077,250001268,율문2리,Yulmun 2(i)-ri,127.75564,37.92708,2026-03-26
1078,250001269,항공대정문,Air Corps Entrance,127.76132,37.92911,2026-03-26
1079,250001270,항공대정문,Air Corps Entrance,127.76116,37.92931,2026-03-26
1080,250001271,할렐루야기도원,Hallelujah Prayer House,127.77221,37.79399,2026-03-26
1081,250001272,할렐루야기도원,Hallelujah Prayer House,127.77269,37.79457,2026-03-26
1082,250001273,장애인종합복지관,Community Rehabilitation Center,127.75585,37.84689,2026-03-26
1083,250001274,장애인종합복지관,Community Rehabilitation Center,127.7554,37.84753,2026-03-26
1084,250001275,한림대학교,Hallym University,127.73737,37.8831,2026-03-26
1085,250001276,한국토지주택공사,Korean Land,127.72924,37.86929,2026-03-26
1086,250001277,한국전력공사입구,Korea Electric Power Corporation Entrance,127.74871,37.88346,2026-03-26
1087,250001278,한국전력공사입구,Korea Electric Power Corporation Entrance,127.74899,37.88349,2026-03-26
1088,250001279,한국은행,Bank of Korea,127.72865,37.88217,2026-03-26
1089,250001280,한계울마을,Hangyeul Village,127.72782,37.94032,2026-03-26
1090,250001281,한계울마을,Hangyeul Village,127.72771,37.94022,2026-03-26
1091,250001282,학곡리종점,Hakgok-ri Terminus,127.76038,37.83495,2026-03-26
1092,250001283,학곡리종점,Hakgok-ri Terminus,127.7606,37.8351,2026-03-26
1093,250001284,하일종점,Hail Terminus,127.75496,37.91395,2026-03-26
1094,265000721,중앙시장입구,Jungang Market Entrance,127.72459,37.87816,2026-03-26
1095,250027098,중앙시장입구,Jungang Market Entrance,127.72437,37.87807,2026-03-26
1096,250001287,무릉공원, Mureung Park,127.73892,37.85607,2026-03-26
1097,250001288,무릉공원, Mureung Park,127.73933,37.85609,2026-03-26
1098,250001289,하사관주택,Noncommissioned Officer Housing,127.70727,37.86467,2026-03-26
1099,250001290,하사관주택,Noncommissioned Officer Housing,127.707,37.86503,2026-03-26
1100,250001291,율문3리,Yulmun 3(sam)-ri,127.76539,37.92999,2026-03-26
1101,250001292,포스코더샵A,POSCO The # Apartment,127.74948,37.88067,2026-03-26
